id;total_assets;current_assets;money_total;cash_shop;cash_owner;bank_account;goods;debitor;long_term_assets;transport;equipment;real_estate;other;code;notes
1;40392;46127;77565;87971;28448;35869;49844;43248;32972;86744;58973;57153;45772;HTTP Leu;haptic Island
2;7437;69782;81051;88711;41596;6216;43049;23571;56812;25405;39632;35655;82444;alarm lime expedite;Licensed disintermediate
3;3101;41899;1754;12462;47818;25414;79822;77332;96621;39155;7404;60948;93809;haptic Division;indexing XML protocol
4;63246;3670;98552;45045;28728;25198;58530;66384;3219;67732;88781;36454;82391;Isle Sports;Streamlined
5;35456;26796;34957;95585;42424;50059;74694;80025;10112;83183;99886;67109;2166;wireless;Generic SQL firewall
6;97439;49173;40279;10735;47779;79917;71651;99603;40558;99256;80660;6402;97803;synthesizing Architect;Hawaii
7;27708;11794;67545;61158;27984;61245;75968;13579;77316;97501;38006;73300;94121;robust salmon Bypass;Intranet SCSI
8;78337;33013;275;28434;34293;52385;34864;43087;28924;58863;72007;68114;19535;overriding Metal;cutting-edge Unbranded mobile
9;97054;25489;34138;35107;42540;40704;42989;92033;84899;39399;32664;14475;38196;Cliff;Suriname
10;28952;94633;35749;49149;45794;92290;48512;47399;77837;69580;24433;26756;57723;Michigan;Security Senior bypassing
