id;amount;expense_date;notes;code;expense_type_id
1;44456;2022-06-16;Mouse deposit;User Bacon visualize;1
2;32699;2022-06-15;users;program Handcrafted Ball;2
3;43706;2022-06-16;Bedfordshire;Chicken;3
4;42074;2022-06-16;architectures Circles;time-frame;4
5;17340;2022-06-16;ADP hack;Czech Wyoming payment;5
6;70153;2022-06-16;Division;Ergonomic;6
7;8767;2022-06-16;withdrawal plum Rubber;Grocery Liaison Cambridgeshire;7
8;61141;2022-06-16;Polynesia Macedonia;1080p COM Island;8
9;59764;2022-06-16;Fantastic Kids;e-markets redundant;9
10;4875;2022-06-16;deliverables plum EXE;portal;10
