id;total_liabilities;supplier;bank_loan;other;code;notes
1;64190;39344;82385;24091;Enterprise-wide Cotton enable;Fantastic Mouse Metal
2;67659;30971;17648;90779;connecting;Ergonomic copy homogeneous
3;7226;21216;6366;49451;1080p;Czech Program
4;45042;60126;56522;59772;Mississippi Down-sized cross-platform;Forward digital Japan
5;92419;84454;42683;8467;indigo Solutions multi-tasking;impactful
6;57675;91922;70166;33544;methodologies;Frozen neural-net
7;38275;11272;89324;4516;USB transparent up;circuit
8;56188;18626;89098;52345;niches Outdoors;productivity Buckinghamshire
9;52421;92396;21097;36543;Division Unbranded;Pants panel Fiji
10;62427;76399;9352;34891;productize;Human pixel
