id;name;code;notes;created_date
1;Franc;Latvia;Northern violet;2022-06-16
2;improvement grow;infomediaries Nepalese leading-edge;BEAC Cambridgeshire Kansas;2022-06-16
3;Sausages Analyst Fresh;Berkshire payment Clothing;Computer Panama index;2022-06-16
4;synthesize complexity Rupiah;Hat;redefine Creative;2022-06-16
5;XSS Maine innovate;throughput Monetary;Handmade connect;2022-06-16
6;Oregon Rufiyaa;Jewelery Operations Security;bottom-line Hampshire Sausages;2022-06-16
7;Dalasi Avon Gorgeous;Montana;invoice;2022-06-16
8;Generic Handmade Orchestrator;Human Cross-platform compressing;maroon Savings Rustic;2022-06-15
9;Kyat payment;Automotive;Dynamic Carolina;2022-06-16
10;Automotive;Oval Ball;Facilitator;2022-06-16
